day,light_state,mean_ph,std_ph,min_ph,max_ph,ph_range,solenoid_activations
1,Dark,7.375300966260099,0.11569272691150896,7.245,7.616,0.37099999999999955,17
1,Light,7.480710202147821,0.1208049499060638,7.253,7.604,0.351,43
2,Dark,7.5393144876325096,0.037008577240475335,7.475,7.604,0.12900000000000045,3
2,Light,7.520093255692682,0.07669969940261771,6.952,7.708,0.7560000000000002,163
3,Dark,7.365282258064515,0.37165948794442666,5.265,7.949,2.684,54
3,Light,7.686671641791045,0.1795760832174694,7.062,7.981,0.9189999999999996,71
4,Dark,7.322890285536934,0.41441601160415137,6.306,7.975,1.6689999999999996,46
4,Light,7.181555104408352,0.47342465518554006,4.541,7.741,3.1999999999999993,98
5,Dark,7.553125202374528,0.05688640077152826,7.214,7.664,0.4499999999999993,120
