day,light_state,mean_ph,std_ph,min_ph,max_ph,ph_range,solenoid_activations
1,Dark,7.496065558194775,0.025711949535040544,7.328,7.581,0.2530000000000001,0
1,Light,7.500750078939059,0.012164132112578335,7.471,7.572,0.10099999999999998,0
2,Dark,7.308593639575971,0.03909645594172151,7.235,7.442,0.20699999999999985,0
2,Light,7.478854484072022,0.044994373764742274,7.262,7.62,0.35800000000000054,38
3,Dark,7.210303443996277,0.1324933632505377,6.961,7.51,0.5489999999999995,0
3,Light,7.367814814814815,0.09418442101411917,7.053,7.545,0.492,23
4,Dark,7.23759767261443,0.1018223567225616,6.983,7.499,0.516,0
4,Light,7.535279008746356,0.17321372100492632,7.131,7.805,0.6739999999999995,1689
5,Dark,7.302046141392337,0.05892631119541523,7.122,7.507,0.3849999999999998,0
